2023-08-11 15:04:52.689 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-08-11 15:04:52.689 [info] Added views:workbench.panel.output in workbench.panel.output
2023-08-11 15:04:52.689 [info] Added views:terminal in terminal
2023-08-11 15:04:52.689 [info] Added views:workbench.scm in workbench.view.scm
2023-08-11 15:04:52.689 [info] Added views:workbench.view.search in workbench.view.search
2023-08-11 15:04:52.689 [info] Added views:outline in workbench.view.explorer
2023-08-11 15:04:52.689 [info] Added views:timeline in workbench.view.explorer
2023-08-11 15:04:52.689 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-08-11 15:04:52.951 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:04:53.136 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-08-11 15:04:55.699 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-08-11 15:04:55.978 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:04:56.015 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:06:48.779 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:06:48.791 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:06:48.800 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:06:48.831 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:06:48.868 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:06:48.877 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:06:57.496 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:06:57.523 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:07:03.019 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:07:03.027 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:07:03.034 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:07:03.060 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:07:03.081 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:07:03.090 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:07:04.843 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:07:04.870 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:12:47.636 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:12:47.646 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:12:47.654 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:12:47.680 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:12:47.714 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:12:47.723 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:12:49.408 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:12:49.441 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:15:38.657 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:15:38.671 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:15:38.682 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-11 15:15:38.722 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 15:15:38.758 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-11 15:15:38.766 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-11 15:38:01.527 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-08-11 15:38:01.530 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-08-11 15:38:01.691 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2023-08-11 15:38:06.921 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-08-11 15:38:06.930 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-08-11 15:44:34.557 [info] Removed views:workbench.debug.welcome from workbench.view.debug
